ID,Illustration,Scenario (EN),Scenario (NL),Harassment type (EN),Harassment type (NL),Harassment Subtype (EN),Harassment Subtype (NL),Correct Swipe,Explanation (EN),Explanation (NL),Intervention tip (EN),Intervention tip (NL),5D type
11,scenerio_11.svg,"During a presentation, someone repeatedly interrupts the same student to “explain it more clearly”.",Tijdens een presentatie onderbreekt iemand steeds dezelfde student om “het duidelijker uit te leggen”.,Verbal behavior,verbaal gedrag,Undermining,Bagatelliserende opmerking,down,It may be intended as helpful but can undermine someone’s confidence.,"Het kan bedoeld zijn om te helpen, maar kan ook overkomen alsof iemand niet serieus wordt genomen.","After the presentation, check in with the student about how it felt to be interrupted.",Check na de presentatie even bij de student hoe het voor hen was om steeds onderbroken te worden.,Delay
12,scenerio_12.svg,"At a party, someone repeatedly asks a person where they are “really from”.",Op een feestje vraagt iemand herhaaldelijk waar een persoon “echt vandaan komt”.,Discrimination,Discriminatie,Racism,Racisme ,left,The question may come from curiosity but can imply that someone does not belong.,"De vraag kan uit nieuwsgierigheid komen, maar kan ook impliceren dat iemand er niet bij hoort.",Interrupt the conversation by introducing a new topic or involving someone else in the discussion.,Onderbreek het gesprek door een nieuw onderwerp aan te snijden of iemand anders bij het gesprek te betrekken.,Distract
13,scenerio_13.svg,"In a group chat, someone sends a meme mocking a certain ethnic group. A few people respond with laughing emojis.",In een groepschat stuurt iemand een meme die een bepaalde etnische groep belachelijk maakt. Een paar mensen reageren met lachende emoji’s.,Discrimination,Discriminatie ,Racism,Racisme ,left,Racist jokes normalize stereotypes and can make people feel excluded or hurt.,Racistische grappen normaliseren stereotypering en kunnen ervoor zorgen dat mensen zich buitengesloten of gekwetst voelen.,Point out that the meme relies on a stereotype and ask the group to keep the chat respectful.,Reageer dat de meme gebaseerd is op een stereotype en vraag om respectvoller met elkaar om te gaan.,Direct
14,scenerio_14.svg,An embarrassing photo of a classmate is shared in a group chat without their consent.,Een gênante foto van een klasgenoot wordt zonder toestemming gedeeld in een groepschat.,Online harrasment,Online intimidatie,Non-consensual image sharing,Non-consensual image sharing,left,Sharing images without consent can be humiliating and damage someone’s reputation.,Het delen van beelden zonder toestemming kan vernederend zijn en reputatieschade veroorzaken.,"Later, check in with the person in the photo to see if they know the image was shared and if they need support.",Check later bij de persoon op de foto of ze weten dat de afbeelding gedeeld is en of ze steun nodig hebben.,Delay
15,scenerio_15.svg,"In a classroom, someone writes a joke about another student’s body on the whiteboard where everyone can see it.",In een klaslokaal schrijft iemand een grap over het lichaam van een medestudent op het whiteboard terwijl anderen het kunnen zien.,Bullying,Pesten,Body shaming,Body shaming,left,Publicly mocking someone’s body can be humiliating and may make them feel insecure or excluded.,Het publiekelijk bespotten van iemands lichaam kan vernederend zijn en ervoor zorgen dat iemand zich onzeker of buitengesloten voelt.,Walk to the board and erase the message or change the focus of the room to something else.,"Loop naar het bord en veeg de tekst weg of begin over een ander onderwerp, zodat de aandacht van de opmerking wordt weggehaald.",Distract
16,scenerio_16.svg,"During a group assignment, someone repeatedly talks over a female student and says he can “explain it better”.",Tijdens een groepsopdracht praat iemand steeds door een vrouwelijke student heen en zegt dat hij het “wel even beter kan uitleggen”,Discrimination,Discriminatie ,Sexism,Sexisme,left,Constantly interrupting or undermining someone can make them feel dismissed or disrespected.,Het structureel onderbreken of kleineren van iemand kan ervoor zorgen dat diegene zich niet serieus genomen voelt.,Involve a teacher or group leader and point out that everyone should have space to speak.,Betrek een docent of groepsleider en benoem dat iedereen de ruimte moet krijgen om te spreken.,Delegate
17,scenerio_17.svg,"At a party, someone asks, “Can I give you a hug?” and immediately accepts the answer when the other person says no.",Tijdens een feestje vraagt iemand: “Mag ik je een knuffel geven?” en accepteert meteen het antwoord wanneer de ander nee zegt,,,,,right,Asking for consent and respecting a no shows that someone takes boundaries seriously.,Het vragen om toestemming en het respecteren van een nee laat zien dat iemand grenzen serieus neemt.,,,
18,scenerio_18.svg,"In a group discussion, someone notices a student being interrupted and says, “Let’s hear what she was saying.”",In een groepsgesprek merkt iemand dat een student steeds wordt onderbroken en zegt: “Laten we even horen wat zij nog wilde zeggen.”,,,,,right,Giving someone the floor again helps make sure everyone is heard.,Door iemand opnieuw het woord te geven help je ervoor te zorgen dat iedereen gehoord wordt.,,,
19,scenerio_19.svg,"In a group chat, someone asks if it’s okay to share a photo of a friend before posting it.",In een groepschat vraagt iemand eerst of het oké is om een foto van een vriend te delen voordat ze hem posten.,,,,,right,Asking first respects someone’s privacy and their control over their image.,Door eerst toestemming te vragen respecteer je iemands privacy en controle over hun eigen beeld.,,,
20,scenerio_20.svg,"During a date, someone says, “I want to take things slow.” The other person responds, “That’s totally fine.”",Tijdens een date zegt iemand: “Ik wil het rustig aan doen.” De ander reageert: “Dat is helemaal goed.”,,,,,right,"
Respecting someone’s pace and boundaries helps create a safe and respectful interaction.",Het respecteren van iemands tempo en grenzen helpt om een veilige en fijne sfeer te houden.,,,
